Office, 100, 2, 1, 3, 12
Restaurant, 100, 3, 1, 3, 8
Elevator, 1000, 1, 1, 0, 0
Dirt, 100, 1, 1, 0, 0
Cafe, 100, 2, 1, 1, 1
Hotel, 200, 1, 1, 1, 2
2BedHotel, 500, 2, 1, 2, 4
Condo, 1000, 2, 1, 1, 6
Stairs, 100, 1, 1, 0, 0
Empty, 100, 1, 1, 0, 0
Suite, 1000, 4, 1, 1, 8
Gladiator, 10000, 3, 2, 1, 10
TrainStation, 15000, 3, 2, 5, 20
Z_Office, 50, 2, 1, 10, 30
Z_Restaurant, 100, 3, 1, 3, 8
Z_Elevator, 1000, 1, 1, 0, 0
Z_Dirt, 100, 1, 1, 0, 0
Z_Cafe, 100, 2, 1, 1, 1
Z_Hotel, 200, 1, 1, 1, 2
Z_2Bed, 500, 2, 1, 2, 4
Z_Condo, 500, 2, 1, 2, 4
Z_Stairs, 500, 1, 1, 0, 0
Z_Empty, 500, 1, 1, 0, 0
Z_Suite, 500, 4, 1, 2, 4
Z_Gladiator, 500, 3, 2, 2, 4
Z_Train, 500, 3, 2, 2, 4
W_Office, 50, 2, 1, 10, 30
W_Restaurant, 100, 3, 1, 3, 8
W_Elevator, 1000, 1, 1, 0, 0
W_Dirt, 100, 1, 1, 0, 0
W_Cafe, 100, 2, 1, 1, 1
W_Hotel, 200, 1, 1, 1, 2
W_2Bed, 500, 2, 1, 2, 4
W_Condo, 500, 2, 1, 2, 4
W_Stairs, 500, 1, 1, 0, 0
W_Empty, 500, 1, 1, 0, 0
W_Suite, 500, 4, 1, 2, 4
W_Gladiator, 500, 3, 2, 2, 4
W_Train, 500, 3, 2, 2, 4
D_Office, 50, 2, 1, 10, 30
D_Restaurant, 100, 3, 1, 3, 8
D_Elevator, 1000, 1, 1, 0, 0
D_Dirt, 100, 1, 1, 0, 0
D_Cafe, 100, 2, 1, 1, 1
D_Hotel, 200, 1, 1, 1, 2
D_2Bed, 500, 2, 1, 2, 4
D_Condo, 500, 2, 1, 2, 4
D_Stairs, 500, 1, 1, 0, 0
D_Empty, 500, 1, 1, 0, 0
D_Suite, 500, 4, 1, 2, 4
D_Gladiator, 500, 3, 2, 2, 4
D_Train, 500, 3, 2, 2, 4
