1000,50 People!,Your tower now houses 50 people at the same time! Wow! You're doing great! Have some money.,0,1,100
1001,200 People!,Your tower now has 200 residents! Woo! Have some money.,1,2,100
1002,1000 People!,1000 Residents. Nothing could go wrong now!,2,3,100
1003,Zombies!,Last night some zombies were reported outside the building. They could be dangerous to the tower residents. But they also could have money...,5,4/5,100
1004,FIRE! FIRE!,Do you smell that?,6,6,5
1005,,,,,
1006,,,,,
1007,,,,,
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,
1017,,,,,
1018,,,,,
